adb server is out of date.  killing...
* daemon started successfully *
--------- beginning of /dev/log/system
03-14 14:15:58.099   709   709 I LocationManagerService: remove network (pid 2575), next minTime = 86400000
03-14 14:15:59.991   709   778 V AlarmManager: sending alarm Alarm{427fd1c0 type 3 android}
03-14 14:16:00.271   709  1057 I ActivityManager: No longer want com.motorola.android.omadm.sprint.dataservice (pid 19375): hidden #21
03-14 14:16:03.255   709   854 D MotDevicePolicyManagerService: Package com.google.android.gms, package state=0, action=android.intent.action.PACKAGE_CHANGED
03-14 14:16:03.265   709   854 D MotDevicePolicyManagerService: getAllAppBlackLists - no app blacklist set for all administrators
03-14 14:16:03.265   709   854 D MotDevicePolicyManagerService: App WhiteList is disabled by all admins.
03-14 14:16:03.265   709   854 D MotDevicePolicyManagerService: isPolicyAllowed - policy=AllowBrowserStrategy allowed by all admin.
03-14 14:16:03.275   709   854 D MotDevicePolicyManagerService: isPolicyAllowed - policy=AllowConsumerEmailStrategy allowed by all admin.
03-14 14:16:03.275   709   854 D MotDevicePolicyManagerService: isPolicyAllowed - policy=AllowTextMessagingStrategy allowed by all admin.
03-14 14:16:03.275   709   854 D MotDevicePolicyManagerService: Package com.google.android.gms does NOT conflict with any policy.
03-14 14:16:07.609   709   778 V AlarmManager: sending alarm Alarm{42b61788 type 0 com.android.vending}
03-14 14:16:10.162   709   780 I WindowManager: Lock screen displayed!
03-14 14:16:11.133   857   857 D PhoneStatusBar: disable: < expand icons alerts ticker system_info BACK HOME recent* CLOCK >
03-14 14:16:11.193   857   857 D PhoneStatusBar: disable: < expand icons alerts ticker system_info back* home* recent clock* >
03-14 14:16:11.213   709  1063 I ActivityManager: Start proc com.google.android.apps.fitness for broadcast com.google.android.apps.fitness/.widget.TodayStatusWidgetProvider: pid=19902 uid=10118 gids={3003, 1015, 3002, 3001, 1028}
03-14 14:16:11.223   709  6760 W InputMethodManagerService: Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@42dc6d70 attribute=android.view.inputmethod.EditorInfo@42ba7028
03-14 14:16:11.523   709  1137 I ActivityManager: No longer want com.google.android.talk (pid 19515): hidden #21
03-14 14:16:16.018   709  7334 I ActivityManager: START {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.motorola.camera/.Camera bnds=[414,758][510,881] u=0} from pid 1519
03-14 14:16:16.058   709   719 I ActivityManager: Start proc com.motorola.camera for activity com.motorola.camera/.Camera: pid=19922 uid=10054 gids={1006, 1015, 1028}
03-14 14:16:16.258   857   857 I SBar.NetworkController: onReceive: WifiManager.RSSI_CHANGED_ACTION | WIFI_STATE_CHANGED_ACTION | NETWORK_STATE_CHANGED_ACTION Received
03-14 14:16:16.258   857   857 I SBar.NetworkController: refreshSignalCluster: wifi: mWifiConnected=true Wifi=stat_sys_wifi_signal_3 Activity=stat_sys_wifi_in Accessibility="Wi-Fi two bars."
03-14 14:16:21.514   709   780 I ActivityManager: Start proc com.google.android.gsf.login for service com.google.android.gsf.login/com.google.android.gsf.loginservice.GoogleLoginService: pid=20026 uid=10015 gids={3003, 1015, 1028, 1007, 1006, 3002, 3001, 2001, 3006}
03-14 14:16:21.564   857   857 D PhoneStatusBar: disable: < expand icons alerts ticker system_info back home RECENT* clock >
03-14 14:16:21.804   857   857 D PhoneStatusBar: disable: < expand icons alerts ticker system_info BACK* HOME* RECENT CLOCK* >
03-14 14:16:21.804   709  7334 I ActivityManager: No longer want com.android.calendar (pid 19578): hidden #21
03-14 14:16:21.914   709   719 W InputMethodManagerService: Starting input on non-focused client com.android.internal.view.IInputMethodClient$Stub$Proxy@427bd098 (uid=10054 pid=19922)
03-14 14:16:21.924   709   779 I WindowManager: Lock screen displayed!
03-14 14:16:23.286   857   857 D PhoneStatusBar: disable: < expand icons alerts ticker system_info BACK HOME recent* CLOCK >
03-14 14:16:23.326   857   857 D PhoneStatusBar: disable: < expand icons alerts ticker system_info back* home* recent clock* >
03-14 14:16:23.356   709  1137 W InputMethodManagerService: Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@42da9868 attribute=android.view.inputmethod.EditorInfo@42f2b8a8
03-14 14:16:25.278   709   783 I ActivityManager: START {act=android.intent.action.MAIN cat=[android.intent.category.HOME] flg=0x10200000 cmp=com.motorola.homescreen/.Launcher u=0} from pid 709
03-14 14:16:25.899   709   719 I ActivityManager: No longer want com.android.chrome:sandboxed_process2 (pid 500): hidden #21
03-14 14:16:25.899   709   719 I ActivityManager: No longer want com.android.chrome (pid 31798): hidden #22
03-14 14:16:25.949   709  7533 W ActivityManager: Scheduling restart of crashed service com.android.chrome/org.chromium.content.browser.SandboxedProcessService2 in 5000ms
03-14 14:16:25.959   709   709 I WindowState: WIN DEATH: Window{42a77a50 com.android.chrome/com.google.android.apps.chrome.Main paused=false}
03-14 14:16:27.621   857   857 I SBar.NetworkController: onServiceStateChanged state=0 home data home domestic Sprint  31000  eHRPD CSS supported 237 4180 mDataState=0 RoamInd=1 DefRoamInd=1 EmergOnly=false VoiceState=0=STATE_IN_SERVICE DataState=0=STATE_IN_SERVICE
03-14 14:16:27.621   857   857 D VzwEri  : ERI alert sound is disabled.
03-14 14:16:27.641   857   857 D CarrierLabel: updateNetworkName: showSpn=false spn="" showPlmn=true plmn="Sprint" isONSSupported=false
03-14 14:16:29.022   709  6760 I ActivityManager: START {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=cs240.benjamin.familymap/.MainActivity u=0} from pid 1519
03-14 14:16:29.062   709  1041 I ActivityManager: Start proc cs240.benjamin.familymap for activity cs240.benjamin.familymap/.MainActivity: pid=20155 uid=10117 gids={1028}
03-14 14:16:30.574   709   735 I BootReceiver: Copying /data/tombstones/tombstone_00 to DropBox (SYSTEM_TOMBSTONE)
03-14 14:16:31.294   709   735 I BootReceiver: Copying /data/tombstones/tombstone_09 to DropBox (SYSTEM_TOMBSTONE)
03-14 14:16:32.566   709   735 I BootReceiver: Copying /data/tombstones/tombstone_01 to DropBox (SYSTEM_TOMBSTONE)
03-14 14:16:33.277   709   735 I BootReceiver: Copying /data/tombstones/tombstone_06 to DropBox (SYSTEM_TOMBSTONE)
03-14 14:16:33.637   857   857 I SBar.NetworkController: onServiceStateChanged state=0 home data home domestic Sprint  31000  eHRPD CSS supported 237 4180 mDataState=0 RoamInd=1 DefRoamInd=1 EmergOnly=false VoiceState=0=STATE_IN_SERVICE DataState=0=STATE_IN_SERVICE
03-14 14:16:33.637   857   857 D VzwEri  : ERI alert sound is disabled.
03-14 14:16:33.647   857   857 D CarrierLabel: updateNetworkName: showSpn=false spn="" showPlmn=true plmn="Sprint" isONSSupported=false
03-14 14:16:33.997   709   735 I BootReceiver: Copying /data/tombstones/tombstone_07 to DropBox (SYSTEM_TOMBSTONE)
03-14 14:16:34.708   709   735 I BootReceiver: Copying /data/tombstones/tombstone_08 to DropBox (SYSTEM_TOMBSTONE)
03-14 14:16:35.099   857   857 D PhoneStatusBar: addNotification score=0
03-14 14:16:35.369   709   735 I BootReceiver: Copying /data/tombstones/tombstone_02 to DropBox (SYSTEM_TOMBSTONE)
03-14 14:16:36.070   709   735 I BootReceiver: Copying /data/tombstones/tombstone_03 to DropBox (SYSTEM_TOMBSTONE)
03-14 14:16:36.720   709   735 I BootReceiver: Copying /data/tombstones/tombstone_04 to DropBox (SYSTEM_TOMBSTONE)
03-14 14:16:36.740   857   857 I SBar.BatteryController: Show 'discharging': status=3, level=94
03-14 14:16:37.621   857   857 I SBar.BatteryController: Show 'discharging': status=3, level=94
03-14 14:16:37.651   857   857 I SBar.BatteryController: Show 'discharging': status=3, level=94
03-14 14:16:37.671   857   857 I SBar.BatteryController: Show 'discharging': status=3, level=94
03-14 14:16:37.701   709  1049 I ActivityManager: Start proc com.google.android.apps.uploader for broadcast com.google.android.apps.uploader/com.google.android.picasasync.BatteryReceiver: pid=20310 uid=10051 gids={3003, 1015, 1028}
03-14 14:16:37.731   709   784 I ActivityManager: Config changed: {1.0 310mcc120mnc en_US sw360dp w598dp h334dp nrml land finger qwerty/v/v dpad/v s.16}
03-14 14:16:37.982   857   857 I SBar.NetworkController: onReceive: Intent.ACTION_CONFIGURATION_CHANGED Received
03-14 14:16:38.002   709  1063 I ActivityManager: No longer want com.android.providers.calendar (pid 19549): hidden #21
03-14 14:16:38.052   857   857 D PhoneStatusBar: addNotification score=0
03-14 14:16:38.082   857   857 I SBar.BatteryController: Show 'discharging': status=3, level=94
03-14 14:16:38.082   857   857 I SBar.BatteryController: Show 'discharging': status=3, level=94
03-14 14:16:38.152   857   857 I SBar.BatteryController: Show 'discharging': status=3, level=94
03-14 14:16:38.612   857   857 I SBar.BatteryController: Show 'discharging': status=3, level=94
03-14 14:16:38.632   857   857 I SBar.BatteryController: Show 'discharging': status=3, level=94
03-14 14:16:38.642   857   857 I SBar.BatteryController: Show 'discharging': status=3, level=94
03-14 14:16:39.283   857   857 D PhoneStatusBar: addNotification score=0
03-14 14:16:42.096   857   857 I SBar.BatteryController: Show 'discharging': status=3, level=94
03-14 14:16:43.137   857   857 I SBar.NetworkController: onReceive: WifiManager.RSSI_CHANGED_ACTION | WIFI_STATE_CHANGED_ACTION | NETWORK_STATE_CHANGED_ACTION Received
03-14 14:16:43.147   857   857 I SBar.NetworkController: refreshSignalCluster: wifi: mWifiConnected=true Wifi=stat_sys_wifi_signal_4 Activity=stat_sys_wifi_in Accessibility="Wi-Fi three bars."
03-14 14:16:45.099   857   857 I SBar.NetworkController: onServiceStateChanged state=0 home data home domestic Sprint  31000  eHRPD CSS supported 237 4180 mDataState=0 RoamInd=1 DefRoamInd=1 EmergOnly=false VoiceState=0=STATE_IN_SERVICE DataState=0=STATE_IN_SERVICE
03-14 14:16:45.099   857   857 D VzwEri  : ERI alert sound is disabled.
03-14 14:16:45.109   857   857 D CarrierLabel: updateNetworkName: showSpn=false spn="" showPlmn=true plmn="Sprint" isONSSupported=false
03-14 14:16:48.032   857   857 I SBar.BatteryController: Show 'discharging': status=3, level=94
03-14 14:16:48.052   857   857 W PowerUI : unknown intent: Intent { act=android.intent.action.ACTION_POWER_CONNECTED flg=0x8000010 }
03-14 14:16:48.092   857   857 I SBar.BatteryController: Show 'discharging': status=3, level=94
03-14 14:16:48.122   857   857 I SBar.BatteryController: Show 'discharging': status=3, level=94
03-14 14:16:48.132   857   857 I SBar.BatteryController: Show 'discharging': status=3, level=94
03-14 14:16:48.162   857   857 I SBar.BatteryController: Show 'discharging': status=3, level=94
03-14 14:16:48.182   857   857 I SBar.BatteryController: Show 'discharging': status=3, level=94
03-14 14:16:48.203   857   857 I SBar.BatteryController: Show 'discharging': status=3, level=94
03-14 14:16:48.293   857   857 D PhoneStatusBar: addNotification score=-20
03-14 14:16:48.313   857   857 D PhoneStatusBar: addNotification score=-10
03-14 14:16:48.393   857   857 D PhoneStatusBar: addNotification score=-20
03-14 14:16:48.403   857   857 D PhoneStatusBar: addNotification score=-10
03-14 14:16:48.833   709   784 I ActivityManager: Config changed: {1.0 310mcc120mnc en_US sw360dp w360dp h566dp nrml port finger qwerty/v/h dpad/v s.17}
03-14 14:16:49.264   857   857 I SBar.NetworkController: onReceive: Intent.ACTION_CONFIGURATION_CHANGED Received
03-14 14:16:49.294   857   857 D PhoneStatusBar: addNotification score=0
03-14 14:16:49.394   857   857 I SBar.BatteryController: Show 'charging': status=2, level=94
03-14 14:16:49.404   857   857 I SBar.BatteryController: Show 'discharging': status=3, level=94
03-14 14:16:49.824   857   857 I SBar.BatteryController: Show 'discharging': status=3, level=94
03-14 14:16:49.844   857   857 I SBar.BatteryController: Show 'discharging': status=3, level=94
03-14 14:16:49.884   857   857 I SBar.BatteryController: Show 'discharging': status=3, level=94
03-14 14:16:49.894   857   857 I SBar.BatteryController: Show 'discharging': status=3, level=94
03-14 14:16:49.914   857   857 I SBar.BatteryController: Show 'discharging': status=3, level=94
03-14 14:16:49.934   857   857 I SBar.BatteryController: Show 'discharging': status=3, level=94
03-14 14:16:50.415   857   857 I SBar.BatteryController: Show 'discharging': status=3, level=94
03-14 14:16:50.435   857   857 I SBar.BatteryController: Show 'discharging': status=3, level=94
03-14 14:16:50.455   857   857 I SBar.BatteryController: Show 'discharging': status=3, level=94
03-14 14:16:50.465   857   857 I SBar.BatteryController: Show 'discharging': status=3, level=94
03-14 14:16:50.475   857   857 I SBar.BatteryController: Show 'discharging': status=3, level=94
03-14 14:16:50.495   857   857 I SBar.BatteryController: Show 'discharging': status=3, level=94
